Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2011-4-23,"Egg, whole, cooked, hard-boiled","5.00 large",387.50,,,186.55,0.17,2.78,1.28,0.16,3.50,0.30,110.00,1300.00,,217.50,2.58,0.75,125.00,0.03,2.98,25.00,0.07,430.00,315.00,77.00,310.00,2.63,2.80,,,2.80,26.53,932.50,10.19,0.19,2.97,3.54,8.17,,0.73,0.75,1.71,2.69,2.26,0.98,1.67,31.45,1.51,0.38,1.28,1.92
2011-4-23,"Sausage, chicken, beef, pork, skinless, smoked","4.00 link",725.76,,,203.28,0.30,5.38,0.56,6.21,1.39,0.72,20.16,,,,,,336.00,0.21,16.13,47.04,0.05,443.52,826.56,67.87,3474.24,9.00,27.22,,,6.38,48.05,403.20,24.07,0.63,2.15,2.84,16.13,,0.52,1.43,2.06,3.51,3.67,1.12,1.74,45.70,1.90,0.49,1.51,2.22
2011-4-23,"Cookies, chocolate chip, prepared from recipe, made with butter","7.00 cookie, medium (2-1/4"" dia)",546.56,,,6.38,0.21,0.09,0.20,1.53,0.29,0.09,36.96,665.28,0.22,,,,42.56,0.43,2.78,61.60,0.74,112.00,247.52,12.54,381.92,1.05,65.18,,,,31.81,78.40,9.23,0.95,4.12,5.09,15.76,,0.12,0.14,0.25,0.44,0.24,0.12,0.30,6.38,0.21,0.08,0.21,0.31
2011-4-24,"Egg, whole, cooked, hard-boiled","2.00 large",155.00,,,74.62,0.07,1.11,0.51,0.06,1.40,0.12,44.00,520.00,,87.00,1.03,0.30,50.00,0.01,1.19,10.00,0.03,172.00,126.00,30.80,124.00,1.05,1.12,,,1.12,10.61,373.00,4.08,0.08,1.19,1.41,3.27,,0.29,0.30,0.69,1.08,0.90,0.39,0.67,12.58,0.60,0.15,0.51,0.77
2011-4-24,"Bread, whole-wheat, commercially prepared","4.38 slice",352.80,,,54.61,0.55,,0.23,6.21,0.90,0.30,58.80,4.20,,,3.72,10.92,225.40,0.32,3.46,105.00,3.04,296.80,355.60,35.98,637.00,2.48,59.79,8.40,40.22,6.08,4.90,,0.87,0.19,2.02,2.23,1.01,0.03,,,,,,,,17.43,,,,
2011-4-24,"Pasta, homemade, made without egg, cooked","4.00 x 2.0 oz",282.72,,,157.00,0.41,,0.34,3.06,0.34,0.06,98.04,,,,,,13.68,0.14,2.58,31.92,0.44,91.20,43.32,,168.72,0.84,57.27,,,,2.23,,0.43,0.13,1.03,1.16,0.32,,0.28,0.20,0.39,0.68,0.19,0.16,0.48,9.96,0.26,0.13,0.26,0.42
2011-4-24,"Sausage, Italian, pork, cooked","1.00 link, 4/lb",285.52,,,39.12,0.52,1.08,0.19,3.46,,0.27,4.15,13.28,0.08,34.03,0.21,2.82,17.43,0.07,1.19,14.94,,141.10,252.32,18.26,616.69,1.98,3.54,0.08,1.92,1.54,22.67,47.31,14.20,0.39,2.52,2.92,8.46,,0.17,0.48,0.61,1.11,1.26,0.40,0.56,15.87,0.66,0.13,0.48,0.67
2011-4-24,"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled","3.00 x 3.0 oz",540.60,,,153.84,0.20,4.41,0.36,19.91,1.47,1.57,22.95,,,17.85,1.07,3.83,56.10,0.23,4.82,63.75,0.03,583.95,938.40,81.35,155.55,13.59,,,,,24.66,224.40,10.10,0.16,0.67,0.92,9.57,,0.97,2.39,3.40,5.95,6.32,1.95,2.96,74.79,2.99,0.49,2.38,3.71
2011-4-24,"Cookies, chocolate chip, prepared from recipe, made with butter","10.00 cookie, medium (2-1/4"" dia)",780.80,,,9.12,0.29,0.13,0.28,2.18,0.41,0.13,52.80,950.40,0.32,,,,60.80,0.62,3.97,88.00,1.06,160.00,353.60,17.92,545.60,1.50,93.12,,,,45.44,112.00,13.19,1.35,5.89,7.27,22.51,,0.18,0.20,0.36,0.63,0.34,0.17,0.43,9.12,0.31,0.12,0.30,0.45
2011-4-25,"Fish, cod, Atlantic, raw","1.00 fillet",189.42,,,187.62,0.18,2.10,0.15,4.77,0.35,0.57,16.17,92.40,2.31,83.16,1.48,0.23,36.96,0.06,0.88,73.92,0.03,468.93,954.03,76.46,124.74,1.04,,,,,1.55,99.33,0.22,0.45,0.01,0.53,0.30,,0.44,1.21,1.90,3.34,3.78,1.22,1.61,41.14,1.80,0.46,1.39,2.12
