Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2016-4-19,"Green tea","2.00 cup",4.74,0.00,94.72,472.19,0.00,0.00,0.07,0.00,0.05,0.00,23.68,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.09,14.21,1.04,4.74,175.23,0.00,14.21,0.09,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-4-19,"Kafa","1.00 full recipe",61.08,0.00,113.11,355.26,0.00,0.00,0.01,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.07,15.87,0.04,0.16,15.33,0.06,10.91,127.51,0.53,15.68,0.05,15.21,0.73,0.15,12.49,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.44,0.00,0.00,0.01,0.01
2016-4-20,"Chocolate milk, whole","0.60 cup",124.50,0.00,1.50,123.45,0.06,0.50,0.24,0.19,0.44,0.06,7.50,147.00,1.35,76.50,0.11,0.45,168.00,0.10,0.36,19.50,0.12,151.50,250.50,2.85,90.00,0.61,15.51,1.20,0.00,14.31,5.09,18.00,1.49,0.07,0.12,0.19,3.16,0.18,0.03,0.14,0.25,0.45,0.40,0.12,0.25,4.76,0.20,0.06,0.24,0.31
2016-4-20,"Cheese sandwich, with margarine","1.00 sandwich",265.05,0.00,0.00,30.90,0.27,0.43,0.19,2.41,0.39,0.06,57.82,491.50,0.00,85.32,0.56,5.98,369.25,0.06,1.98,18.97,0.28,231.48,101.85,16.73,752.12,1.08,26.10,1.35,18.59,3.51,13.56,28.35,4.00,0.24,1.91,2.17,6.14,0.56,0.11,0.24,0.41,0.75,0.55,0.20,0.46,9.57,0.34,0.11,0.38,0.50
2016-4-20,"McDonald's Hamburger","5.00 each",1211.30,0.00,0.00,221.76,1.82,4.72,0.90,18.87,1.36,0.77,306.20,235.75,6.34,19.60,1.39,15.77,489.70,0.51,12.38,104.16,1.54,556.42,974.83,89.91,2400.76,10.68,143.69,6.10,104.15,26.11,41.96,116.20,16.10,0.69,4.56,5.31,15.27,3.25,0.88,1.70,2.48,4.37,3.54,1.30,2.49,61.12,2.21,0.66,1.84,2.71
2016-4-20,"Kidney beans, canned, drained","1.69 cup, whole pieces",372.00,0.00,0.00,204.33,0.20,0.00,0.05,1.38,0.62,0.34,84.00,0.00,0.60,0.00,0.08,23.70,171.00,0.82,4.50,90.00,1.15,363.00,831.00,4.80,693.00,2.25,64.47,16.50,36.57,11.40,3.15,0.00,0.09,0.22,0.36,0.58,0.54,0.00,0.23,0.66,1.13,2.03,1.67,0.31,1.41,23.94,0.88,0.29,0.57,1.38
2016-4-20,"Tomato raw (includes cherry, grape, roma)","10.00 cherry",30.60,0.00,0.00,160.68,0.06,0.00,0.03,1.01,0.15,0.14,25.50,1416.10,23.29,0.00,0.92,13.43,17.00,0.10,0.46,18.70,0.19,40.80,402.90,0.00,8.50,0.29,6.61,2.04,0.00,4.47,0.34,0.00,0.05,0.01,0.14,0.14,0.05,0.00,0.02,0.02,0.03,0.04,0.05,0.01,0.05,1.50,0.05,0.01,0.02,0.03
2016-4-20,"Scallions or spring onions, tops and bulb, raw","1.00 large",8.00,0.00,0.00,22.46,0.01,0.00,0.02,0.13,0.02,0.02,16.00,249.25,4.70,0.00,0.14,51.75,18.00,0.02,0.37,5.00,0.04,9.25,69.00,0.15,4.00,0.10,1.84,0.65,0.07,0.58,0.05,0.00,0.01,0.00,0.02,0.02,0.01,0.00,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.46,0.02,0.01,0.01,0.02
2016-4-20,"White bread, store bought","2.00 Serving (2 medium slice - 4 1/2"" x 4 1/4"" x 1/2"")",266.00,0.00,0.00,36.42,0.53,0.00,0.24,4.78,0.54,0.09,111.00,1.00,0.00,0.00,0.22,0.20,144.00,0.10,3.61,23.00,0.54,98.00,126.00,22.00,490.00,0.74,49.42,2.70,37.17,5.67,3.33,0.00,0.60,0.17,1.43,1.60,0.70,0.03,0.15,0.17,0.28,0.53,0.24,0.13,0.38,8.85,0.24,0.10,0.23,0.33
2016-4-20,"Kafa","1.00 full recipe",61.08,0.00,113.11,355.26,0.00,0.00,0.01,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.07,15.87,0.04,0.16,15.33,0.06,10.91,127.51,0.53,15.68,0.05,15.21,0.73,0.15,12.49,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.44,0.00,0.00,0.01,0.01
2016-4-20,"Caj","2.00 full recipe",103.86,0.00,142.08,708.29,0.00,0.00,0.10,0.00,0.08,0.00,35.52,0.00,0.00,0.00,0.00,0.00,0.25,0.07,0.15,21.31,1.56,7.10,263.35,0.15,21.56,0.14,27.13,0.00,0.00,24.95,0.00,0.00,0.01,0.02,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-4-21,"Burek","200.00 g",600.00,,,,,,,,,,,,,,,,,,,,,,,,,,38.40,,,,9.60,,,,,,,,,,,,,,,6.40,,,,
2016-4-21,"Yogurt, plain, whole milk","1.00 container - each 6 oz",103.76,0.00,0.00,149.52,0.05,0.63,0.24,0.13,0.66,0.05,11.91,168.40,0.85,3.40,0.15,0.36,205.82,0.02,0.09,20.41,0.01,161.59,263.65,3.74,78.24,1.00,7.93,0.00,0.00,7.93,5.53,22.11,1.52,0.05,0.11,0.16,3.57,0.12,0.05,0.15,0.32,0.60,0.53,0.17,0.32,5.90,0.24,0.03,0.30,0.49
2016-4-21,"Chocolate milk, whole","0.60 cup",124.50,0.00,1.50,123.45,0.06,0.50,0.24,0.19,0.44,0.06,7.50,147.00,1.35,76.50,0.11,0.45,168.00,0.10,0.36,19.50,0.12,151.50,250.50,2.85,90.00,0.61,15.51,1.20,0.00,14.31,5.09,18.00,1.49,0.07,0.12,0.19,3.16,0.18,0.03,0.14,0.25,0.45,0.40,0.12,0.25,4.76,0.20,0.06,0.24,0.31
2016-4-21,"Cheese sandwich, with margarine","1.00 sandwich",265.05,0.00,0.00,30.90,0.27,0.43,0.19,2.41,0.39,0.06,57.82,491.50,0.00,85.32,0.56,5.98,369.25,0.06,1.98,18.97,0.28,231.48,101.85,16.73,752.12,1.08,26.10,1.35,18.59,3.51,13.56,28.35,4.00,0.24,1.91,2.17,6.14,0.56,0.11,0.24,0.41,0.75,0.55,0.20,0.46,9.57,0.34,0.11,0.38,0.50
2016-4-21,"Kafa","1.00 full recipe",61.08,0.00,113.11,355.26,0.00,0.00,0.01,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.07,15.87,0.04,0.16,15.33,0.06,10.91,127.51,0.53,15.68,0.05,15.21,0.73,0.15,12.49,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.44,0.00,0.00,0.01,0.01
2016-4-21,"Caj","2.00 full recipe",103.86,0.00,142.08,708.29,0.00,0.00,0.10,0.00,0.08,0.00,35.52,0.00,0.00,0.00,0.00,0.00,0.25,0.07,0.15,21.31,1.56,7.10,263.35,0.15,21.56,0.14,27.13,0.00,0.00,24.95,0.00,0.00,0.01,0.02,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-4-21,"Hamburger or ground beef, 70% lean","2.31 cup",1315.00,0.00,0.00,278.90,0.24,14.00,0.96,24.30,4.04,2.14,65.00,45.00,0.00,10.00,0.60,15.00,205.00,0.37,12.40,100.00,0.06,1010.00,1640.00,108.00,480.00,29.75,0.00,0.00,0.00,0.00,89.30,445.00,41.85,0.00,1.79,2.33,34.71,5.74,1.32,4.15,5.65,9.96,10.58,3.29,4.98,127.80,4.95,0.65,3.93,6.28
2016-4-21,"Red bell peppers, raw","1.22 large - 3"" diameter x 3 3/4""",62.00,0.00,0.00,184.42,0.11,0.00,0.17,1.96,0.63,0.58,92.00,6262.00,255.40,0.00,3.16,9.80,14.00,0.03,0.86,24.00,0.22,52.00,422.00,0.20,8.00,0.50,12.06,4.20,0.00,8.40,0.60,0.00,0.01,0.05,0.09,0.14,0.05,0.00,0.04,0.03,0.04,0.07,0.07,0.01,0.10,1.98,0.08,0.02,0.02,0.06
2016-4-21,"Potatoes, pan fried","1.00 cup, chopped",320.20,0.00,0.00,188.93,0.24,0.00,0.05,3.20,1.24,0.66,21.96,7.70,18.05,0.00,0.25,10.60,20.18,0.41,0.77,48.91,0.35,97.67,801.03,0.74,586.11,0.66,48.85,5.02,38.56,2.07,12.72,0.00,6.92,0.09,1.99,2.13,3.29,2.79,0.05,0.09,0.17,0.25,0.25,0.07,0.19,4.18,0.15,0.07,0.16,0.23
2016-4-22,"White bread, store bought","4.00 Serving (2 medium slice - 4 1/2"" x 4 1/4"" x 1/2"")",532.00,0.00,0.00,72.84,1.07,0.00,0.49,9.56,1.07,0.17,222.00,2.00,0.00,0.00,0.44,0.40,288.00,0.20,7.22,46.00,1.07,196.00,252.00,44.00,980.00,1.48,98.84,5.40,74.34,11.34,6.66,0.00,1.20,0.33,2.85,3.20,1.40,0.05,0.31,0.34,0.56,1.07,0.48,0.27,0.76,17.70,0.47,0.19,0.46,0.66
2016-4-22,"Roast beef lunchmeat","2.04 cup",473.87,0.00,0.00,380.92,0.22,5.56,0.80,21.81,1.21,2.14,13.75,38.50,0.00,2.80,0.77,5.23,51.17,0.17,7.97,42.32,0.03,742.50,1057.21,74.87,5175.65,12.50,8.75,0.00,0.00,8.74,12.35,211.75,5.28,0.06,0.72,0.83,4.60,0.59,0.87,3.18,3.96,7.32,8.14,2.30,3.41,82.23,4.00,0.95,3.17,4.25
2016-4-22,"Scallions or spring onions, tops and bulb, raw","1.00 large",8.00,0.00,0.00,22.46,0.01,0.00,0.02,0.13,0.02,0.02,16.00,249.25,4.70,0.00,0.14,51.75,18.00,0.02,0.37,5.00,0.04,9.25,69.00,0.15,4.00,0.10,1.84,0.65,0.07,0.58,0.05,0.00,0.01,0.00,0.02,0.02,0.01,0.00,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.46,0.02,0.01,0.01,0.02
2016-4-22,"Cornbread, homemade","1.00 piece - 3"" x 3""",214.06,0.00,0.00,36.16,0.22,0.27,0.24,1.72,0.35,0.06,60.48,146.62,0.05,22.94,0.38,2.58,130.92,0.04,1.71,13.15,0.13,109.92,92.00,10.67,321.58,0.46,30.47,1.11,23.35,5.97,7.85,46.35,2.88,0.04,0.83,0.88,3.32,0.63,0.10,0.12,0.21,0.48,0.23,0.12,0.26,4.97,0.17,0.05,0.18,0.26
2016-4-22,"Kafa","1.00 full recipe",61.08,0.00,113.11,355.26,0.00,0.00,0.01,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.07,15.87,0.04,0.16,15.33,0.06,10.91,127.51,0.53,15.68,0.05,15.21,0.73,0.15,12.49,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.44,0.00,0.00,0.01,0.01
2016-4-22,"Chocolate cake, not frosted, homemade","2.00 cup",501.20,0.20,9.05,56.29,0.29,0.15,0.25,2.13,0.35,0.03,51.60,69.19,0.00,11.55,3.63,7.10,60.88,0.42,3.76,46.31,0.71,117.53,148.22,16.57,291.00,1.47,75.72,2.89,25.84,46.89,21.30,49.63,5.24,0.82,6.49,7.32,7.56,0.13,0.14,0.14,0.26,0.46,0.25,0.13,0.32,6.57,0.22,0.08,0.22,0.31
2016-4-22,"Burek","250.00 g",750.00,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,,,,12.00,,,,,,,,,,,,,,,8.00,,,,
2016-4-22,"Yogurt, plain, whole milk","1.00 container - each 6 oz",103.76,0.00,0.00,149.52,0.05,0.63,0.24,0.13,0.66,0.05,11.91,168.40,0.85,3.40,0.15,0.36,205.82,0.02,0.09,20.41,0.01,161.59,263.65,3.74,78.24,1.00,7.93,0.00,0.00,7.93,5.53,22.11,1.52,0.05,0.11,0.16,3.57,0.12,0.05,0.15,0.32,0.60,0.53,0.17,0.32,5.90,0.24,0.03,0.30,0.49
2016-4-25,"White bread, store bought","0.96 cup",106.40,0.00,0.00,14.57,0.21,0.00,0.10,1.91,0.21,0.03,44.40,0.40,0.00,0.00,0.09,0.08,57.60,0.04,1.44,9.20,0.21,39.20,50.40,8.80,196.00,0.30,19.77,1.08,14.87,2.27,1.33,0.00,0.24,0.07,0.57,0.64,0.28,0.01,0.06,0.07,0.11,0.21,0.10,0.05,0.15,3.54,0.09,0.04,0.09,0.13
2016-4-25,"White rice, uncooked","0.81 cup",547.50,0.00,0.00,17.43,0.86,0.00,0.07,6.29,1.52,0.25,346.50,0.00,0.00,0.00,0.17,0.15,42.00,0.33,6.46,37.50,1.63,172.50,172.50,22.65,7.50,1.64,119.93,1.95,0.00,0.18,0.99,0.00,0.31,0.05,0.22,0.27,0.27,0.00,0.22,0.25,0.46,0.88,0.39,0.25,0.57,10.70,0.38,0.12,0.36,0.65
2016-4-25,"Kafa","0.80 full recipe",48.87,0.00,90.49,284.21,0.00,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.05,12.69,0.03,0.13,12.26,0.05,8.73,102.01,0.42,12.54,0.04,12.17,0.58,0.12,9.99,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.35,0.00,0.00,0.01,0.01
2016-4-25,"Green peas, cooked from frozen","2.81 cup, whole pieces",351.00,0.00,0.00,357.84,1.27,0.00,0.45,6.66,0.64,0.51,265.50,9450.00,44.55,0.00,0.14,108.00,108.00,0.47,6.84,99.00,1.26,346.50,495.00,4.50,324.00,3.02,64.17,15.93,17.55,20.93,1.22,0.00,0.11,0.11,0.47,0.58,0.22,0.00,0.14,0.45,0.83,1.38,1.36,0.35,0.86,23.18,0.87,0.16,0.49,1.00
2016-4-25,"Soy sauce","10.00 tbsp",84.47,0.00,0.00,113.39,0.05,0.00,0.26,3.50,0.47,0.24,22.31,0.00,0.00,0.00,0.00,0.00,52.59,0.07,2.31,117.94,1.62,264.56,693.27,0.80,8754.30,1.39,7.86,1.27,5.94,0.64,0.91,0.00,0.14,0.05,0.37,0.42,0.12,0.00,0.19,0.28,0.51,0.86,0.61,0.15,0.56,12.97,0.43,0.15,0.39,0.53
2016-4-25,"White bread, store bought","4.00 Serving (2 medium slice - 4 1/2"" x 4 1/4"" x 1/2"")",532.00,0.00,0.00,72.84,1.07,0.00,0.49,9.56,1.07,0.17,222.00,2.00,0.00,0.00,0.44,0.40,288.00,0.20,7.22,46.00,1.07,196.00,252.00,44.00,980.00,1.48,98.84,5.40,74.34,11.34,6.66,0.00,1.20,0.33,2.85,3.20,1.40,0.05,0.31,0.34,0.56,1.07,0.48,0.27,0.76,17.70,0.47,0.19,0.46,0.66
2016-4-25,"Kidney beans, canned, drained","1.69 cup, whole pieces",372.00,0.00,0.00,204.33,0.20,0.00,0.05,1.38,0.62,0.34,84.00,0.00,0.60,0.00,0.08,23.70,171.00,0.82,4.50,90.00,1.15,363.00,831.00,4.80,693.00,2.25,64.47,16.50,36.57,11.40,3.15,0.00,0.09,0.22,0.36,0.58,0.54,0.00,0.23,0.66,1.13,2.03,1.67,0.31,1.41,23.94,0.88,0.29,0.57,1.38
2016-4-25,"Scallions or spring onions, tops and bulb, raw","1.00 large",8.00,0.00,0.00,22.46,0.01,0.00,0.02,0.13,0.02,0.02,16.00,249.25,4.70,0.00,0.14,51.75,18.00,0.02,0.37,5.00,0.04,9.25,69.00,0.15,4.00,0.10,1.84,0.65,0.07,0.58,0.05,0.00,0.01,0.00,0.02,0.02,0.01,0.00,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.46,0.02,0.01,0.01,0.02
2016-4-25,"Tomato raw (includes cherry, grape, roma)","5.00 cherry",15.30,0.00,0.00,80.34,0.03,0.00,0.02,0.50,0.08,0.07,12.75,708.05,11.65,0.00,0.46,6.72,8.50,0.05,0.23,9.35,0.10,20.40,201.45,0.00,4.25,0.14,3.31,1.02,0.00,2.24,0.17,0.00,0.03,0.00,0.07,0.07,0.02,0.00,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.75,0.02,0.01,0.01,0.02
2016-4-26,"Eden, rye flakes, 100% whole grain, organic","1.46 x 0.5 Cup",247.92,0.00,,,0.18,,0.20,0.58,,,35.00,0.00,0.00,,,,0.00,,1.58,58.33,,87.50,218.75,,0.00,1.31,53.96,7.29,,0.00,1.46,0.00,,,,,0.00,0.00,,,,,,,,5.83,,,,
2016-4-26,"Bananas, raw","4.00 large (8"" to 8-7/8"" long)",484.16,,,407.51,0.17,,0.40,3.62,1.82,2.00,108.80,348.16,47.33,,0.54,2.72,27.20,0.42,1.41,146.88,1.47,119.68,1947.52,5.44,5.44,0.82,124.25,14.14,29.27,66.53,1.80,,0.17,0.15,0.25,0.40,0.61,,0.05,0.42,0.15,0.37,0.27,0.04,0.27,5.93,0.15,0.05,0.05,0.26
2016-4-26,"Soy milk, chocolate, sweetened with sugar, not fortified, ready-to-drink","4.12 cup",630.00,0.00,20.00,856.10,0.22,7.00,2.62,5.13,0.89,0.77,110.00,30.00,17.00,0.00,0.10,30.00,250.00,2.06,4.80,150.00,2.23,510.00,1430.00,48.00,530.00,3.40,99.50,4.00,17.60,78.60,15.30,0.00,3.79,0.75,5.84,8.36,2.40,0.00,0.00,0.61,1.14,1.86,1.31,0.27,1.13,22.60,1.08,0.38,0.89,1.17
2016-4-26,"Brazil nuts, unsalted","0.45 cup, whole pieces",393.60,0.00,0.00,2.09,0.37,0.00,0.02,0.18,0.11,0.06,13.20,0.00,0.42,0.00,3.44,0.00,96.00,1.05,1.46,225.60,0.73,435.00,395.40,1150.20,1.80,2.44,7.36,4.50,0.15,1.40,39.86,0.00,14.73,0.01,12.33,12.35,9.08,0.00,0.22,0.23,0.31,0.69,0.30,0.60,0.38,8.59,0.22,0.08,0.25,0.45
2016-4-26,"Raisins, seedless","100.00 g",299.00,,,15.43,0.11,,0.13,0.77,0.09,0.17,5.00,,2.30,,0.12,3.50,50.00,0.32,1.88,32.00,0.30,101.00,749.00,0.60,11.00,0.22,79.18,3.70,2.70,59.19,0.46,,0.05,0.01,0.03,0.04,0.06,,0.02,0.07,0.06,0.10,0.08,0.02,0.07,3.07,0.08,0.05,0.01,0.08
2016-4-26,"Croissant, cheese","2.00 large",664.05,0.17,0.00,80.65,0.69,0.48,0.58,4.65,0.86,0.08,120.99,1221.19,0.25,54.57,1.18,3.36,93.82,0.12,3.52,24.78,0.51,178.06,193.83,30.44,184.75,1.00,66.98,2.41,52.40,11.72,37.86,142.45,9.96,0.19,1.61,1.81,23.17,1.44,0.22,0.33,0.62,1.14,0.67,0.31,0.72,13.99,0.50,0.17,0.55,0.72
2016-4-26,"Yogurt, plain, whole milk","1.00 container - each 6 oz",103.76,0.00,0.00,149.52,0.05,0.63,0.24,0.13,0.66,0.05,11.91,168.40,0.85,3.40,0.15,0.36,205.82,0.02,0.09,20.41,0.01,161.59,263.65,3.74,78.24,1.00,7.93,0.00,0.00,7.93,5.53,22.11,1.52,0.05,0.11,0.16,3.57,0.12,0.05,0.15,0.32,0.60,0.53,0.17,0.32,5.90,0.24,0.03,0.30,0.49
2016-4-30,"Pizza, homemade or restaurant, cheese, thin crust","0.92 10"" diameter",842.50,0.00,0.00,221.72,1.13,2.09,1.05,7.75,1.49,0.32,223.85,1321.90,6.09,18.00,2.43,24.24,889.11,0.31,6.05,74.29,0.91,784.31,573.52,70.25,2399.69,5.37,93.17,5.37,73.72,8.06,33.68,77.43,8.31,0.73,5.79,6.56,15.26,0.89,0.39,0.96,1.92,3.24,1.69,0.89,1.94,41.57,1.64,0.80,1.76,2.24
2016-4-30,"Soy milk, plain or original, unsweetened, fortified (enriched),  ready-to-drink","2.47 cup",183.68,0.00,0.00,557.77,0.16,7.41,1.26,0.43,0.19,0.25,59.26,1234.57,1.81,296.40,0.37,20.39,740.74,0.43,2.67,98.77,0.88,260.12,740.74,13.83,209.76,1.48,10.54,6.37,1.40,3.19,9.52,0.00,2.11,0.64,4.74,5.38,1.38,0.00,0.28,0.47,0.86,1.44,1.18,0.24,0.92,17.67,0.77,0.26,0.67,0.88
2016-4-30,"Kidney beans, canned, drained","1.69 cup, whole pieces",372.00,0.00,0.00,204.33,0.20,0.00,0.05,1.38,0.62,0.34,84.00,0.00,0.60,0.00,0.08,23.70,171.00,0.82,4.50,90.00,1.15,363.00,831.00,4.80,693.00,2.25,64.47,16.50,36.57,11.40,3.15,0.00,0.09,0.22,0.36,0.58,0.54,0.00,0.23,0.66,1.13,2.03,1.67,0.31,1.41,23.94,0.88,0.29,0.57,1.38
2016-4-30,"Scallions or spring onions, tops and bulb, raw","1.00 large",8.00,0.00,0.00,22.46,0.01,0.00,0.02,0.13,0.02,0.02,16.00,249.25,4.70,0.00,0.14,51.75,18.00,0.02,0.37,5.00,0.04,9.25,69.00,0.15,4.00,0.10,1.84,0.65,0.07,0.58,0.05,0.00,0.01,0.00,0.02,0.02,0.01,0.00,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.46,0.02,0.01,0.01,0.02
2016-4-30,"Tomato raw (includes cherry, grape, roma)","1.00 medium - 2 3/5"" diameter",22.14,0.00,0.00,116.26,0.05,0.00,0.02,0.73,0.11,0.10,18.45,1024.59,16.85,0.00,0.66,9.72,12.30,0.07,0.33,13.53,0.14,29.52,291.51,0.00,6.15,0.21,4.78,1.48,0.00,3.23,0.25,0.00,0.04,0.00,0.10,0.10,0.03,0.00,0.01,0.02,0.02,0.03,0.03,0.01,0.03,1.08,0.03,0.01,0.02,0.02
2016-4-30,"White bread, store bought","3.80 Serving (2 medium slice - 4 1/2"" x 4 1/4"" x 1/2"")",505.40,0.00,0.00,69.20,1.01,0.00,0.46,9.08,1.02,0.17,210.90,1.90,0.00,0.00,0.42,0.38,273.60,0.19,6.86,43.70,1.02,186.20,239.40,41.80,931.00,1.41,93.90,5.13,70.62,10.77,6.33,0.00,1.14,0.32,2.71,3.04,1.33,0.05,0.29,0.33,0.53,1.01,0.45,0.25,0.72,16.82,0.45,0.18,0.44,0.63
2016-4-30,"Apples, raw, with skin","1.00 medium (3"" dia)",94.64,,,155.72,0.03,,0.05,0.17,0.11,0.07,5.46,98.28,8.37,,0.33,4.00,10.92,0.05,0.22,9.10,0.06,20.02,194.74,,1.82,0.07,25.13,4.37,0.09,18.91,0.31,,0.01,0.02,0.08,0.09,0.05,,0.00,0.01,0.01,0.02,0.02,0.00,0.01,0.47,0.01,0.00,0.00,0.02
2016-5-1,"Brazil nuts, unsalted","1.33 FDA Serving Size",262.40,0.00,0.00,1.39,0.25,0.00,0.01,0.12,0.07,0.04,8.80,0.00,0.28,0.00,2.29,0.00,64.00,0.70,0.97,150.40,0.49,290.00,263.60,766.80,1.20,1.62,4.91,3.00,0.10,0.93,26.57,0.00,9.82,0.01,8.22,8.23,6.05,0.00,0.15,0.15,0.21,0.46,0.20,0.40,0.25,5.73,0.14,0.06,0.17,0.30
2016-5-1,"Apples, raw, with skin","1.00 medium (3"" dia)",94.64,,,155.72,0.03,,0.05,0.17,0.11,0.07,5.46,98.28,8.37,,0.33,4.00,10.92,0.05,0.22,9.10,0.06,20.02,194.74,,1.82,0.07,25.13,4.37,0.09,18.91,0.31,,0.01,0.02,0.08,0.09,0.05,,0.00,0.01,0.01,0.02,0.02,0.00,0.01,0.47,0.01,0.00,0.00,0.02
2016-5-1,"Kafa","2.00 full recipe",122.17,0.00,226.22,710.52,0.00,0.00,0.01,2.03,0.01,0.00,0.00,0.00,0.00,0.00,0.17,0.14,31.73,0.08,0.33,30.65,0.12,21.81,255.02,1.06,31.35,0.10,30.42,1.45,0.29,24.99,0.04,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.04,0.01,0.00,0.02,0.88,0.01,0.00,0.01,0.02
2016-5-1,"White rice, uncooked","0.81 cup",547.50,0.00,0.00,17.43,0.86,0.00,0.07,6.29,1.52,0.25,346.50,0.00,0.00,0.00,0.17,0.15,42.00,0.33,6.46,37.50,1.63,172.50,172.50,22.65,7.50,1.64,119.93,1.95,0.00,0.18,0.99,0.00,0.31,0.05,0.22,0.27,0.27,0.00,0.22,0.25,0.46,0.88,0.39,0.25,0.57,10.70,0.38,0.12,0.36,0.65
2016-5-1,"Kidney beans, canned, drained","1.69 cup, whole pieces",372.00,0.00,0.00,204.33,0.20,0.00,0.05,1.38,0.62,0.34,84.00,0.00,0.60,0.00,0.08,23.70,171.00,0.82,4.50,90.00,1.15,363.00,831.00,4.80,693.00,2.25,64.47,16.50,36.57,11.40,3.15,0.00,0.09,0.22,0.36,0.58,0.54,0.00,0.23,0.66,1.13,2.03,1.67,0.31,1.41,23.94,0.88,0.29,0.57,1.38
2016-5-1,"Bananas, raw","3.00 medium (7"" to 7-7/8"" long)",315.06,,,265.18,0.11,,0.26,2.35,1.18,1.30,70.80,226.56,30.80,,0.35,1.77,17.70,0.28,0.92,95.58,0.96,77.88,1267.32,3.54,3.54,0.53,80.85,9.20,19.05,43.29,1.17,,0.11,0.10,0.16,0.26,0.40,,0.03,0.27,0.10,0.24,0.18,0.03,0.17,3.86,0.10,0.03,0.03,0.17
2016-5-1,"Kidney beans, canned, drained","1.69 cup, whole pieces",372.00,0.00,0.00,204.33,0.20,0.00,0.05,1.38,0.62,0.34,84.00,0.00,0.60,0.00,0.08,23.70,171.00,0.82,4.50,90.00,1.15,363.00,831.00,4.80,693.00,2.25,64.47,16.50,36.57,11.40,3.15,0.00,0.09,0.22,0.36,0.58,0.54,0.00,0.23,0.66,1.13,2.03,1.67,0.31,1.41,23.94,0.88,0.29,0.57,1.38
2016-5-1,"Scallions or spring onions, tops and bulb, raw","1.00 large",8.00,0.00,0.00,22.46,0.01,0.00,0.02,0.13,0.02,0.02,16.00,249.25,4.70,0.00,0.14,51.75,18.00,0.02,0.37,5.00,0.04,9.25,69.00,0.15,4.00,0.10,1.84,0.65,0.07,0.58,0.05,0.00,0.01,0.00,0.02,0.02,0.01,0.00,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.46,0.02,0.01,0.01,0.02
2016-5-1,"Croissant, cheese","1.50 large",498.03,0.12,0.00,60.49,0.52,0.36,0.43,3.49,0.64,0.06,90.74,915.90,0.19,40.92,0.88,2.52,70.37,0.09,2.64,18.59,0.38,133.55,145.37,22.83,138.56,0.75,50.23,1.80,39.30,8.79,28.39,106.84,7.47,0.14,1.21,1.35,17.38,1.08,0.17,0.25,0.47,0.86,0.50,0.23,0.54,10.50,0.37,0.13,0.41,0.54
